host,stage,source,threat_Score
cadets,1,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,15.004828475508104
cadets,1,wget:286AC9D5-3940-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:28FC317D-3910-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,12.861281550435518
cadets,1,wget:3AC51C96-399B-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,1,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,17.14837540058069
cadets,1,wget:496CEAF3-39A3-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:536EF59E-392D-11E8-BF66-D9AA8AFF4A69,100.74670547841149
cadets,1,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,21.43546925072586
cadets,1,wget:5E4DC13C-39AD-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:6974CDF3-390E-11E8-BF66-D9AA8AFF4A69,6.430640775217759
cadets,1,wget:6ECFAF1D-39A1-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:717AD91A-3900-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:7EF1A57D-39A9-11E8-BF66-D9AA8AFF4A69,2.1435469250725863
cadets,1,wget:859E2771-39A5-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,1,wget:8EE37B83-39A8-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:AB8A00C0-39B2-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,1,wget:C04FCF96-39AB-11E8-BF66-D9AA8AFF4A69,11519.421175339445
cadets,1,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,15.004828475508104
cadets,1,wget:C2C3CE53-39A9-11E8-BF66-D9AA8AFF4A69,12.861281550435518
cadets,1,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,222.92888020754944
cadets,1,wget:EDDB24CC-3903-11E8-BF66-D9AA8AFF4A69,8.574187700290345
cadets,1,wget:FFCB6EDF-39B3-11E8-BF66-D9AA8AFF4A69,4.2870938501451725
cadets,4,wget:14F2E368-390E-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:36388F8D-39A0-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:42EC6EE2-399D-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:5BB911EA-399E-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:C2C24475-399B-11E8-BF66-D9AA8AFF4A69,12.286035066475314
cadets,4,wget:CEDA2C86-38F7-11E8-BF66-D9AA8AFF4A69,12.286035066475314
