host,source,threat_Score
cadets,wget:1028713A-3B9C-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,wget:15203020-3B96-11E8-B8CE-15D78AC88FB6,13911.61954371964
cadets,wget:1DE528A6-3B9F-11E8-B8CE-15D78AC88FB6,216.49823943233164
cadets,wget:2940FD2A-3B77-11E8-B8CE-15D78AC88FB6,23.579016175798444
cadets,wget:3076352A-3B76-11E8-B8CE-15D78AC88FB6,205.78050480696865
cadets,wget:33BBBB8D-3B7B-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,wget:3910521B-3BFB-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,wget:3E4DFC8F-3B71-11E8-B8CE-15D78AC88FB6,27.29086354198342
cadets,wget:4D16B4CE-3BFF-11E8-B8CE-15D78AC88FB6,42.29569201749151
cadets,wget:50A33C16-3B88-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,wget:5201B027-3B73-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,wget:5A7AA3D1-3B80-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,wget:83CEC05E-3B7B-11E8-B8CE-15D78AC88FB6,42.29569201749151
cadets,wget:879A3FAB-3B78-11E8-B8CE-15D78AC88FB6,216.49823943233164
cadets,wget:93CC59DC-3BF6-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,wget:C7EC904C-3B82-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,wget:E35EE301-3B83-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,wget:F1599434-3B7B-11E8-B8CE-15D78AC88FB6,4.2870938501451725
