,host,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
0,theia,2018-04-11T11:29:02.000000000-04:00,/bin/bash:9A526D51-0100-0000-0000-000000000020,CONNECT,207.46.73.59:80,5.0,10.0
1,theia,2018-04-11T11:29:10.000000000-04:00,/bin/bash:9A526D51-0100-0000-0000-000000000020,CONNECT,207.46.73.60:80,5.0,10.0
2,theia,2018-04-11T13:36:18.000000000-04:00,/bin/bash:9A6B426F-0100-0000-0000-000000000020,CONNECT,66.252.21.131:80,5.0,10.0
3,theia,2018-04-11T13:46:02.000000000-04:00,/home/admin/profile (deleted):61739171-0100-0000-0000-000000000020,CONNECT,7.149.198.40:80,5.0,10.0
4,theia,2018-04-11T13:48:38.000000000-04:00,/bin/bash:76752572-0100-0000-0000-000000000020,CONNECT,66.252.21.131:80,5.0,10.0
5,theia,2018-04-11T16:38:18.000000000-04:00,/bin/bash:D629E999-0100-0000-0000-000000000020,CONNECT,66.252.21.131:80,5.0,10.0
6,theia,2018-04-11T17:12:39.000000000-04:00,/bin/bash:2C30F6A1-0100-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
7,theia,2018-04-11T17:12:47.000000000-04:00,/bin/bash:2C30F6A1-0100-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
8,theia,2018-04-11T17:26:31.000000000-04:00,/bin/bash:503436A5-0100-0000-0000-000000000020,CONNECT,212.60.66.243:80,5.0,10.0
9,theia,2018-04-12T10:40:33.000000000-04:00,/bin/bash:F4209197-0200-0000-0000-000000000020,CONNECT,212.60.66.243:80,5.0,10.0
10,theia,2018-04-12T10:40:42.000000000-04:00,/bin/bash:C9219A97-0200-0000-0000-000000000020,CONNECT,194.90.181.242:80,5.0,10.0
11,theia,2018-04-12T10:40:50.000000000-04:00,/bin/bash:C9219A97-0200-0000-0000-000000000020,CONNECT,194.90.181.242:80,5.0,10.0
12,theia,2018-04-12T12:44:41.000000000-04:00,/home/admin/Downloads/firefox/firefox:7235B0B4-0200-0000-0000-000000000020,CONNECT,141.43.176.203:80,5.0,10.0
13,theia,2018-04-12T12:50:18.000000000-04:00,/home/admin/Downloads/firefox/firefox:B33501B6-0200-0000-0000-000000000020,CONNECT,141.43.176.203:80,5.0,10.0
14,theia,2018-04-12T12:50:18.000000000-04:00,/bin/dash:B53501B6-0200-0000-0000-000000000020,CONNECT,146.153.68.151:80,5.0,10.0
15,theia,2018-04-12T13:17:04.000000000-04:00,/var/log/mail:283847BC-0200-0000-0000-000000000020,CONNECT,149.52.198.23:80,5.0,10.0
16,theia,2018-04-12T13:33:05.000000000-04:00,/bin/bash:C23B01C0-0200-0000-0000-000000000020,CONNECT,216.87.162.115:80,5.0,10.0
17,theia,2018-04-12T13:42:00.000000000-04:00,/bin/bash:D84118C2-0200-0000-0000-000000000020,CONNECT,207.46.73.59:80,5.0,10.0
18,theia,2018-04-12T13:42:08.000000000-04:00,/bin/bash:D84118C2-0200-0000-0000-000000000020,CONNECT,207.46.73.60:80,5.0,10.0
19,theia,2018-04-12T13:42:19.000000000-04:00,/bin/bash:AD422AC2-0200-0000-0000-000000000020,CONNECT,83.150.97.73:80,5.0,10.0
20,theia,2018-04-12T14:31:54.000000000-04:00,/bin/bash:1A4ACACD-0200-0000-0000-000000000020,CONNECT,69.20.49.234:80,5.0,10.0
21,theia,2018-04-12T16:13:59.000000000-04:00,/bin/bash:575BB6E5-0200-0000-0000-000000000020,CONNECT,216.87.162.115:80,5.0,10.0
22,theia,2018-04-12T16:20:43.000000000-04:00,/bin/bash:40614BE7-0200-0000-0000-000000000020,CONNECT,83.150.97.73:80,5.0,10.0
23,theia,2018-04-12T16:21:14.000000000-04:00,/bin/bash:8D6469E7-0200-0000-0000-000000000020,CONNECT,69.20.49.234:80,5.0,10.0
24,theia,2018-04-12T16:29:34.000000000-04:00,/bin/bash:F8715EE9-0200-0000-0000-000000000020,CONNECT,69.20.49.234:80,5.0,10.0
25,theia,2018-04-12T16:56:50.000000000-04:00,/bin/bash:7C7BC2EF-0200-0000-0000-000000000020,CONNECT,216.87.162.115:80,5.0,10.0
26,theia,2018-04-12T17:57:11.000000000-04:00,/bin/bash:9708E7FD-0200-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
27,theia,2018-04-12T17:57:19.000000000-04:00,/bin/bash:9708E7FD-0200-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
28,theia,2018-04-12T17:57:28.000000000-04:00,/bin/bash:7C09F7FD-0200-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
29,theia,2018-04-12T17:57:36.000000000-04:00,/bin/bash:7C09F7FD-0200-0000-0000-000000000020,CONNECT,212.190.125.38:80,5.0,10.0
30,theia,2018-04-12T17:58:06.000000000-04:00,/bin/bash:040C1EFE-0200-0000-0000-000000000020,CONNECT,66.252.21.131:80,5.0,10.0
31,theia,2018-04-12T18:14:50.000000000-04:00,/bin/bash:A5140A02-0300-0000-0000-000000000020,CONNECT,212.60.66.243:80,5.0,10.0
