1557835130.654:1723793066,293A0115-7F1E-40E6-5E2A-C7F42A3B7515:sshd,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557835130.646:1723793019,293A0115-7F1E-40E6-5E2A-C7F42A3B7515:sshd,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557835130.542:1723791904,293A0115-7F1E-40E6-5E2A-C7F42A3B7515:sshd,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557835130.542:1723791903,293A0115-7F1E-40E6-5E2A-C7F42A3B7515:sshd,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557835130.438:1723791281,9070F952-1E5D-48B7-7A85-FDCC87EF098D:sshd,EXECUTE,293A0115-7F1E-40E6-5E2A-C7F42A3B7515,sshd,ta1-trace-2
1557835130.438:1723791260,DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD:sshd,FORK,9070F952-1E5D-48B7-7A85-FDCC87EF098D,sshd,ta1-trace-2
1557835060.285:1723639821,62BF21B6-5DAC-BD7E-426D-D2B9EEF4EC25:sshd,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557835060.273:1723639774,62BF21B6-5DAC-BD7E-426D-D2B9EEF4EC25:sshd,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557835060.169:1723639363,62BF21B6-5DAC-BD7E-426D-D2B9EEF4EC25:sshd,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557835060.169:1723639362,62BF21B6-5DAC-BD7E-426D-D2B9EEF4EC25:sshd,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557835060.073:1723638740,C47D2BB7-D0FE-82A1-632F-DC7F233C75C0:sshd,EXECUTE,62BF21B6-5DAC-BD7E-426D-D2B9EEF4EC25,sshd,ta1-trace-2
1557835060.069:1723638719,DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD:sshd,FORK,C47D2BB7-D0FE-82A1-632F-DC7F233C75C0,sshd,ta1-trace-2
1557834778.770:1723092951,9494D6B0-0E2B-5825-2757-6B404EE274A7:sshd,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557834778.762:1723092921,9494D6B0-0E2B-5825-2757-6B404EE274A7:sshd,MMAP,07E87BAE-732D-D58F-383B-111629036544,/etc/shadow,ta1-trace-2
1557834778.662:1723092492,9494D6B0-0E2B-5825-2757-6B404EE274A7:sshd,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557834778.662:1723092491,9494D6B0-0E2B-5825-2757-6B404EE274A7:sshd,READ,573E5010-1713-BD2C-2998-A48580BDA4D4,/etc/hosts,ta1-trace-2
1557834778.586:1723091186,3A15F3C2-9C91-743A-707D-23D8DED3D3B5:sshd,EXECUTE,9494D6B0-0E2B-5825-2757-6B404EE274A7,sshd,ta1-trace-2
1557834778.582:1723091165,DEF8FC47-7A9A-FBED-6B2A-08B2189BECCD:sshd,FORK,3A15F3C2-9C91-743A-707D-23D8DED3D3B5,sshd,ta1-trace-2
