host,stage,source,threat_Score
cadets,1,wget:055C863D-3AAC-11E8-B8CE-15D78AC88FB6,11532.282456889876
cadets,1,wget:187C6F95-3AD1-11E8-B8CE-15D78AC88FB6,216.49823943233164
cadets,1,wget:23C97D4F-3A8D-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:274C7202-3B70-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:2A302171-3A80-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:3427C60F-3AC0-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:3FFD5451-3AD3-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:454B7C93-3B58-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:5D25EE48-3B58-11E8-B8CE-15D78AC88FB6,15.004828475508104
cadets,1,wget:62027B4C-3B4D-11E8-B8CE-15D78AC88FB6,308.67075721045336
cadets,1,wget:6CAC2784-3B65-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:6E621DF7-3B54-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:70054DF9-3AB2-11E8-B8CE-15D78AC88FB6,23.579016175798444
cadets,1,wget:713A2CD4-3A9B-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:750AE752-3B37-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:89C07D7E-3AAE-11E8-B8CE-15D78AC88FB6,308.67075721045336
cadets,1,wget:9144BCC2-3AA7-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:9A3D8CA0-3B49-11E8-B8CE-15D78AC88FB6,15.004828475508104
cadets,1,wget:A4DC1608-3ABC-11E8-B8CE-15D78AC88FB6,30.009656951016197
cadets,1,wget:B0B5260B-3B5B-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:C0565FC0-3B3D-11E8-B8CE-15D78AC88FB6,310.81430413552596
cadets,1,wget:C4906459-3A8E-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:C938F4E1-3A9A-11E8-B8CE-15D78AC88FB6,10.717734625362931
cadets,1,wget:CB89583D-3ABD-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:D5BAB101-3B32-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:D69A2991-3AAB-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,1,wget:D992EC4E-3B50-11E8-B8CE-15D78AC88FB6,15.004828475508104
cadets,1,wget:F2318771-3B5F-11E8-B8CE-15D78AC88FB6,6.430640775217759
cadets,4,wget:5D25EE48-3B58-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:750AE752-3B37-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:9144BCC2-3AA7-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:95A582B9-3A7A-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:A4DC1608-3ABC-11E8-B8CE-15D78AC88FB6,12.286035066475314
cadets,4,wget:D992EC4E-3B50-11E8-B8CE-15D78AC88FB6,12.286035066475314
