host,stage,detection_timestamp,source,SYSCALL,Intermediate_process,detection_details,threat_Score,certainity_Score
theia,1,2018-04-10T14:31:22.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719153152:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:22.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719157248:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:22.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719161344:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:22.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719165440:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719165440:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:53.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719165440:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:53.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719169536:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719169536:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719169536:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:32.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719169536:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:38.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719169536:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719173632:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719173632:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719177728:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719181824:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719185920:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:32.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719185920:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719185920:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719190016:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719190016:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719194112:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719194112:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719198208:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719198208:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:32.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719198208:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719202304:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719202304:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:41:44.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719206400:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719206400:PROT_READ|PROT_EXEC,7.177387193107894,10.0
theia,1,2018-04-10T14:31:23.000000000-04:00,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,...,/usr/bin/fluxbox:06187E2A-0000-0000-0000-000000000020,MPROTECT  23836719210496:PROT_READ|PROT_EXEC,7.177387193107894,10.0
